Seimo nariai;Nedalyvavo;Prieš;Už;Susilaikė;Registravosi;Už A;Už B
Tomas Martinaitis;412;177;1000;27;6;17;31
Tomas Tomilinas;609;71;814;123;16;18;19
Vaida Aleknavičienė;501;93;921;107;3;20;25
Valdas Rakutis;609;88;744;163;19;40;7
Valius Ąžuolas;766;159;453;145;110;19;18
Viktoras Fiodorovas;546;73;884;68;51;31;17
Viktoras Pranckietis;842;81;599;98;13;30;7
Viktorija Čmilytė-Nielsen;778;131;568;92;43;48;10
Violeta Turauskaitė;116;113;1223;140;3;24;51
Virgilijus Alekna;660;67;708;170;23;31;11
Vitalijus Gailius;350;97;915;195;44;53;16
Vitalijus Šeršniovas;184;229;1170;0;8;54;25
Vytautas Grubliauskas;139;84;1224;142;6;26;49
Vytautas Jucius;258;134;1080;116;9;29;44
Vytautas Juozapaitis;660;73;644;209;27;36;18
Vytautas Kernagis;823;82;612;109;5;28;11
Vytautas Sinica;318;167;951;158;5;40;31
Zigmantas Balčytis;226;98;1149;120;10;38;29
Žygimantas Pavilionis;813;134;525;133;23;35;7
